1	2	3	북의정부	의정부
2	3	2	의정부	회룡
3	4	3	회룡	망월사
4	5	2	망월사	도봉산
5	6	3	도봉산	도봉
6	7	2	도봉	방학
7	8	2	방학	창동
8	9	3	창동	녹천
9	10	2	녹천	월계
10	11	2	월계	성북
11	12	2	성북	석계
12	13	2	석계	신이문
13	14	2	신이문	외대앞
14	15	3	외대앞	회기
15	16	2	회기	청량리
16	17	2	청량리	제기동
17	18	1	제기동	신설동
18	19	1	신설동	동묘앞
19	20	1	동묘앞	동대문
20	21	1	동대문	종로5가
21	22	2	종로5가	종로3가
22	23	2	종로3가	종각
23	24	3	종각	시청
24	25	2	시청	서울역
25	26	3	서울역	남영
26	27	2	남영	용산
27	28	3	용산	노량진
28	29	3	노량진	대방
29	30	2	대방	신길
30	31	2	신길	영등포
31	32	2	영등포	신도림
32	33	2	신도림	구로
33	34	3	구로	구일
34	35	2	구일	개봉
35	36	2	개봉	오류동
36	37	3	오류동	온수
37	38	1	온수	역곡
38	39	2	역곡	소사
39	40	2	소사	부천
40	41	2	부천	중동
41	42	2	중동	송내
42	43	1	송내	부개
43	44	2	부개	부평
44	45	2	부평	백운
45	46	3	백운	동암
46	47	2	동암	간석
47	48	2	간석	주안
48	49	2	주안	제물포
49	50	3	제물포	도원
50	51	3	도원	동인천
51	52	2	동인천	인천
33	53	5	구로	가리봉
53	54	3	가리봉	시흥
54	55	3	시흥	석수
55	56	3	석수	관악
56	57	3	관악	안양
57	58	3	안양	명학
58	59	3	명학	금정
59	60	4	금정	군포
60	61	4	군포	부곡
61	62	4	부곡	성균관대
62	63	4	성균관대	화서
63	64	3	화서	수원
65	66	2	낙성대	사당
66	67	3	사당	방배
67	68	2	방배	서초
68	69	2	서초	교대
69	70	2	교대	강남
70	71	1	강남	역삼
71	72	2	역삼	선릉
72	73	2	선릉	삼성
73	74	2	삼성	종합운동장
74	75	2	종합운동장	신천
75	76	2	신천	잠실
76	77	2	잠실	성내
77	78	3	성내	강변
78	79	1	강변	구의
79	80	3	구의	건대입구
80	81	2	건대입구	성수
81	82	2	성수	뚝섬
82	83	3	뚝섬	한양대
83	84	2	한양대	왕십리
84	85	1	왕십리	상왕십리
85	86	2	상왕십리	신당
86	87	2	신당	동대문운동장
87	88	2	동대문운동장	을지로4가
88	89	2	을지로4가	을지로3가
89	90	2	을지로3가	을지로입구
90	91	1	을지로입구	시청
91	92	1	시청	충정로
92	93	3	충정로	아현
93	94	2	아현	이대
94	95	1	이대	신촌
95	96	2	신촌	홍대입구
96	97	2	홍대입구	합정
97	98	2	합정	당산
98	99	2	당산	영등포구청
99	100	2	영등포구청	문래
100	101	2	문래	신도림
101	102	3	신도림	대림
102	103	2	대림	구로공단
103	104	2	구로공단	신대방
104	105	2	신대방	신림
105	106	2	신림	봉천
106	107	2	봉천	서울대입구
107	65	2	서울대입구	낙성대
108	109	3	수서	일원
109	110	2	일원	대청
110	111	2	대청	학여울
111	112	1	학여울	대치
112	113	2	대치	도곡
113	114	2	도곡	매봉
114	115	2	매봉	양재
115	116	3	양재	남부터미널
116	117	2	남부터미널	교대
117	118	2	교대	고속터미널
118	119	2	고속터미널	잠원
119	120	2	잠원	신사
120	121	3	신사	압구정
121	122	2	압구정	옥수
122	123	2	옥수	금호
123	124	1	금호	약수
124	125	2	약수	동대입구
125	126	2	동대입구	충무로
126	127	1	충무로	을지로3가
127	128	1	을지로3가	종로3가
128	129	2	종로3가	안국
129	130	2	안국	경복궁
130	131	3	경복궁	독립문
131	132	2	독립문	무악재
132	133	2	무악재	홍제
133	134	2	홍제	녹번
134	135	2	녹번	불광
135	136	2	불광	연신내
136	137	3	연신내	구파발
137	138	3	구파발	지축
138	139	4	지축	삼송
139	140	4	삼송	원당
140	141	3	원당	화정
141	142	4	화정	대곡
142	143	3	대곡	백석
143	144	3	백석	마두
144	145	2	마두	정발산
145	146	3	정발산	주엽
146	147	2	주엽	대화
148	149	2	안산	공단
149	150	3	공단	고진
150	151	3	고진	중앙
151	152	2	중앙	한대앞
152	153	3	한대앞	상록수
153	154	3	상록수	반월
154	155	4	반월	대야미
155	156	3	대야미	산본
156	157	4	산본	금정
157	158	3	금정	범계
158	159	2	범계	평촌
159	160	4	평촌	인덕원
160	161	3	인덕원	제2종합청사
161	162	2	제2종합청사	과천
162	163	2	과천	대공원
163	164	2	대공원	경마장
164	165	3	경마장	선바위
165	166	3	선바위	남태령
166	167	1	남태령	사당
167	168	2	사당	이수
168	169	3	이수	동작
169	170	4	동작	이촌
170	171	2	이촌	신용산
171	172	1	신용산	삼각지
172	173	2	삼각지	숙대입구
173	174	2	숙대입구	서울역
174	175	2	서울역	회현
175	176	2	회현	명동
176	177	1	명동	충무로
177	178	2	충무로	동대문운동장
178	179	2	동대문운동장	동대문
179	180	2	동대문	혜화
180	181	2	혜화	한성대입구
181	182	2	한성대입구	성심여대입구
182	183	3	성심여대입구	길음
183	184	2	길음	미아삼거리
184	185	2	미아삼거리	미아
185	186	2	미아	수유
186	187	3	수유	쌍문
187	188	2	쌍문	창동
188	189	2	창동	노원
189	190	2	노원	상계
190	191	2	상계	당고개
192	193	2	용산	이촌
193	194	2	이촌	서빙고
194	195	2	서빙고	한남
195	196	2	한남	옥수
196	197	2	옥수	응봉
197	198	2	응봉	왕십리
198	199	2	왕십리	청량리상
199	200	2	청량리상	회기
201	202	2	방화	개화산
202	203	2	개화산	김포공항
203	204	2	김포공항	송정
204	205	2	송정	마곡
205	206	2	마곡	발산
206	207	2	발산	우장산
207	208	2	우장산	화곡
208	209	2	화곡	까치산
209	210	2	까치산	신정
210	211	2	신정	목동
211	212	2	목동	오목교
212	213	2	오목교	양평
213	214	2	양평	영등포구청
214	215	2	영등포구청	문래
215	216	2	문래	영등포시장
216	217	2	영등포시장	신길
217	218	2	신길	여의도
218	219	2	여의도	여의나루
219	220	2	여의나루	마포
220	221	2	마포	공덕
221	222	2	공덕	애오개
222	223	2	애오개	충정로
223	224	2	충정로	서대문
224	225	2	서대문	광화문
225	226	2	광화문	종로3가
226	227	2	종로3가	을지로4가
227	228	2	을지로4가	동대문운동장
228	229	2	동대문운동장	청구
229	230	2	청구	신금호
230	231	2	신금호	행당
231	232	2	행당	왕십리
232	233	2	왕십리	마장
233	234	2	마장	답십리
234	235	2	답십리	장한평
235	236	2	장한평	군자
236	237	2	군자	아차산
237	238	2	아차산	광나루
238	239	2	광나루	천호
239	240	2	천호	강동
240	241	2	강동	둔촌동
241	242	2	둔촌동	올림픽공원
242	243	2	올림픽공원	방이
243	244	2	방이	오금
244	245	2	오금	개롱
245	246	2	개롱	거여
246	247	2	거여	마천
240	248	2	강동	길동
248	249	2	길동	굽은다리
249	250	2	굽은다리	명일
250	251	2	명일	고덕
251	252	2	고덕	상일동
253	254	2	봉화산	화랑대
254	255	2	화랑대	태릉입구
255	256	2	태릉입구	석계
256	257	2	석계	돌곶이
257	258	2	돌곶이	상월곡
258	259	2	상월곡	월곡
259	260	2	월곡	고려대
260	261	2	고려대	안암
261	262	2	안암	보문
262	263	2	보문	창신
263	264	2	창신	동묘앞
264	265	2	동묘앞	신당
265	266	2	신당	청구
266	267	2	청구	약수
267	268	2	약수	버티고개
268	269	2	버티고개	한강진
269	270	2	한강진	이태원
270	271	2	이태원	녹사평
271	272	2	녹사평	삼각지
272	273	2	삼각지	효창공원앞
273	274	2	효창공원앞	공덕
274	275	2	공덕	대흥
275	276	2	대흥	광흥창
276	277	2	광흥창	상수
277	278	2	상수	합정
278	279	2	합정	망원
279	280	2	망원	마포구청
280	281	2	마포구청	성산
281	282	2	성산	수색
282	283	2	수색	증산
283	284	2	증산	새절
284	285	2	새절	응암
285	286	2	응암	역촌
286	287	2	역촌	불광
287	288	2	불광	독바위
288	289	2	독바위	연신내
289	290	2	연신내	구산
290	285	2	구산	응암
291	292	2	장암	도봉산
292	293	2	도봉산	수락산
293	294	2	수락산	마들
294	295	2	마들	노원
295	296	2	노원	중계
296	297	2	중계	하계
297	298	2	하계	공릉
298	299	2	공릉	태릉입구
299	300	2	태릉입구	먹골
300	301	2	먹골	중화
301	302	2	중화	상봉
302	303	2	상봉	면목
303	304	2	면목	사가정
304	305	2	사가정	용마산
305	306	2	용마산	중곡
306	307	2	중곡	군자
307	308	2	군자	어린이대공원
308	309	2	어린이대공원	건대입구
309	310	2	건대입구	뚝섬유원지
310	311	2	뚝섬유원지	청담
311	312	2	청담	강남구청
312	313	2	강남구청	학동
313	314	2	학동	논현
314	315	2	논현	반포
315	316	2	반포	고속터미널
316	317	2	고속터미널	내방
317	318	2	내방	이수
318	319	2	이수	남성
319	320	2	남성	숭실대입구
320	321	2	숭실대입구	상도
321	322	2	상도	장승배기
322	323	2	장승배기	신대방삼거리
323	324	2	신대방삼거리	보라매
324	325	2	보라매	신풍
325	326	2	신풍	대림
326	327	2	대림	남구로
327	328	2	남구로	가리봉
328	329	2	가리봉	철산
329	330	2	철산	광명
330	331	2	광명	천왕
331	332	2	천왕	온수
333	334	2	암사	천호
334	335	2	천호	강동구청
335	336	2	강동구청	몽촌토성
336	337	2	몽촌토성	잠실
337	338	2	잠실	석촌
338	339	2	석촌	송파
339	340	2	송파	가락시장
340	341	2	가락시장	문정
341	342	2	문정	장지
342	343	2	장지	복정
343	344	2	복정	산성
344	345	2	산성	남한산성입구
345	346	2	남한산성입구	단대오거리
346	347	2	단대오거리	신흥
347	348	2	신흥	수진
348	0	2	수진	모란
349	350	3	신설동	신답
350	351	3	신답	용답
351	352	3	용답	성수
353	354	2	까치산	신정네거리
354	355	2	신정네거리	양천구청
355	356	2	양천구청	도림천
356	357	2	도림천	신도림
357	32	5	신도림	신도림
32	101	5	신도림	신도림
357	101	3	신도림	신도림
352	81	3	성수	성수
349	18	5	신설동	신설동
353	209	5	까치산	까치산
53	53	5	가리봉	가리봉
80	309	5	건대입구	건대입구
118	316	5	고속터미널	고속터미널
274	221	5	공덕	공덕
69	117	5	교대	교대
236	307	5	군자	군자
59	157	5	금정	금정
248	248	5	길동	길동
189	295	5	노원	노원
102	326	5	대림	대림
5	292	5	도봉산	도봉산
20	179	5	동대문	동대문
87	178	5	동대문운동장	동대문운동장
178	228	5	동대문운동장	동대문운동장
87	228	5	동대문운동장	동대문운동장
19	264	5	동묘앞	동묘앞
100	215	5	문래	문래
135	287	5	불광	불광
66	167	5	사당	사당
172	272	5	삼각지	삼각지
25	174	5	서울역	서울역
12	256	5	석계	석계
24	91	5	시청	시청
30	217	5	신길	신길
86	265	5	신당	신당
32	101	5	신도림	신도림
124	267	5	약수	약수
136	289	5	연신내	연신내
99	214	5	영등포구청	영등포구청
122	196	5	옥수	옥수
37	332	5	온수	온수
84	198	5	왕십리	왕십리
198	232	5	왕십리	왕십리
232	84	5	왕십리	왕십리
27	192	5	용산	용산
89	127	5	을지로3가	을지로3가
